t,func,frame_id,raw0,raw1,raw2,raw3,gsx,gsy,gsz,agc,res0,res1,res2,res3,res4,res5
0.001,HRV,18,8921043,9172947,9430332,9813266,-217,210,-421,g4/33mA/33mA g4/33mA/33mA g4/33mA/33mA g4/33mA/33mA,,,,,,
0.002,HR,19,11758009,13325924,11018955,11997156,-130,221,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,20,11763536,13328986,11023025,11997541,-122,225,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,21,11767051,13334303,11025335,11998283,-120,225,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,22,11769686,13338430,11028127,12000441,-123,223,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.002,HR,23,11775847,13344640,11032510,12003367,-128,225,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,24,11785991,13351484,11039917,12006141,-125,224,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,25,11802397,13360508,11050759,12008646,-117,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,26,11809315,13375397,11053037,12010098,-122,222,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,67,94,0,1,0,0
0.003,HR,27,11815320,13390070,11054180,12020081,-119,228,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.003,HR,28,11831445,13400982,11060980,12029010,-113,237,-441,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,29,11844362,13412576,11067455,12038619,-105,240,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,30,11856850,13422916,11074375,12046801,-118,229,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,31,11872948,13434108,11081326,12052422,-135,217,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,32,11888784,13441702,11088978,12055150,-122,223,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.059,HR,33,11901785,13449627,11096178,12057846,-118,226,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,34,11911170,13456761,11101118,12063606,-118,227,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,35,11915111,13465196,11105223,12067497,-120,223,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,36,11914327,13479735,11104368,12074509,-125,229,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,37,11918976,13488795,11107440,12081854,-125,231,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,38,11926731,13495849,11113081,12088422,-111,216,-455,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.06,HR,39,11932488,13496813,11117132,12092247,-122,214,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,40,11925954,13489025,11110759,12083286,-130,216,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,41,11921963,13480681,11106639,12068939,-118,219,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,42,11922927,13479768,11105179,12060099,-119,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,43,11920545,13479400,11104813,12058342,-122,224,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.149,HR,44,11911349,13483821,11102791,12056841,-123,221,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,45,11906931,13489236,11102067,12060568,-122,221,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,46,11910479,13493035,11105272,12061516,-124,220,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,47,11916621,13494996,11108483,12062079,-132,216,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,48,11921937,13498894,11111142,12066131,-120,225,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,49,11932763,13502238,11116135,12068785,-112,227,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,50,11940501,13506120,11118608,12071062,-112,220,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.179,HR,51,11942256,13510310,11119017,12075763,-128,210,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,67,94,0,1,0,0
0.179,HR,52,11936073,13518143,11116903,12077512,-148,203,-450,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,19,11758009,13325924,11018955,11997156,-130,221,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,20,11763536,13328986,11023025,11997541,-122,225,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,21,11767051,13334303,11025335,11998283,-120,225,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,22,11769686,13338430,11028127,12000441,-123,223,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.239,HRV,23,11775847,13344640,11032510,12003367,-128,225,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,24,11785991,13351484,11039917,12006141,-125,224,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,25,11802397,13360508,11050759,12008646,-117,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,26,11809315,13375397,11053037,12010098,-122,222,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,858,0,0,0,20,1
0.295,HRV,27,11815320,13390070,11054180,12020081,-119,228,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.295,HRV,28,11831445,13400982,11060980,12029010,-113,237,-441,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,29,11844362,13412576,11067455,12038619,-105,240,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,30,11856850,13422916,11074375,12046801,-118,229,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,31,11872948,13434108,11081326,12052422,-135,217,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,32,11888784,13441702,11088978,12055150,-122,223,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.322,HRV,33,11901785,13449627,11096178,12057846,-118,226,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,34,11911170,13456761,11101118,12063606,-118,227,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,35,11915111,13465196,11105223,12067497,-120,223,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,36,11914327,13479735,11104368,12074509,-125,229,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,37,11918976,13488795,11107440,12081854,-125,231,-443,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,38,11926731,13495849,11113081,12088422,-111,216,-455,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
0.357,HRV,39,11932488,13496813,11117132,12092247,-122,214,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.315,HRV,40,11925954,13489025,11110759,12083286,-130,216,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.315,HRV,41,11921963,13480681,11106639,12068939,-118,219,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.315,HRV,42,11922927,13479768,11105179,12060099,-119,222,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.316,HRV,43,11920545,13479400,11104813,12058342,-122,224,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.316,HRV,44,11911349,13483821,11102791,12056841,-123,221,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.382,HRV,45,11906931,13489236,11102067,12060568,-122,221,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.382,HRV,46,11910479,13493035,11105272,12061516,-124,220,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.382,HRV,47,11916621,13494996,11108483,12062079,-132,216,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.382,HRV,48,11921937,13498894,11111142,12066131,-120,225,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.382,HRV,49,11932763,13502238,11116135,12068785,-112,227,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.382,HRV,50,11940501,13506120,11118608,12071062,-112,220,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.435,HRV,51,11942256,13510310,11119017,12075763,-128,210,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,824,0,0,0,20,1
1.435,HRV,52,11936073,13518143,11116903,12077512,-148,203,-450,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.852,HR,53,11933241,13526008,11117269,12084312,-113,226,-454,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.852,HR,54,11940101,13529462,11123411,12088373,-128,218,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.852,HR,55,11951180,13534862,11129025,12092067,-144,210,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.852,HR,56,11959645,13544246,11133606,12098916,-146,208,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.852,HR,57,11974402,13553981,11140346,12107611,-138,211,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.856,HR,58,11987415,13562445,11145182,12113625,-131,214,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.856,HR,59,11995576,13568936,11148323,12120543,-133,214,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.856,HR,60,12005814,13575156,11152920,12127539,-135,214,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.856,HR,61,12018604,13582048,11158313,12130219,-129,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.856,HR,62,12027691,13586314,11163722,12133570,-119,229,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.856,HR,63,12039258,13590299,11171375,12138468,-113,233,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.919,HR,64,12047798,13594923,11177694,12142128,-117,227,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.919,HR,65,12054863,13599351,11182566,12146562,-120,220,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.919,HR,66,12060577,13604802,11186712,12151137,-121,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.919,HR,67,12058580,13603949,11186712,12151110,-121,220,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
1.919,HR,68,12035716,13592790,11176041,12138861,-122,219,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.223,HR,69,12019166,13582808,11167595,12129981,-126,216,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.224,HR,70,12013009,13579062,11164583,12126208,-131,213,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.224,HR,71,12009918,13578747,11163208,12127539,-128,215,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.224,HR,72,12008547,13579412,11161878,12131831,-125,217,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.224,HR,73,11998649,13581418,11157511,12136003,-122,218,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.224,HR,74,11989042,13597099,11152230,12139671,-119,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.281,HR,75,11988112,13602601,11154388,12146238,-117,221,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.281,HR,76,11989282,13604871,11157417,12148602,-120,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,67,94,0,1,0,0
2.281,HR,77,11987056,13606474,11155974,12149883,-124,219,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.281,HR,78,11984829,13609724,11153483,12154235,-124,219,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.281,HR,79,11984580,13611652,11153168,12157484,-124,219,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.302,HR,80,11984598,13614365,11154909,12162270,-124,218,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.302,HR,81,11985750,13617087,11156205,12168138,-125,217,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.302,HR,82,11986219,13617249,11157033,12173633,-126,216,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.302,HR,83,11986466,13616516,11158339,12178266,-122,208,-453,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.302,HR,84,11986193,13617907,11159600,12183931,-117,199,-458,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.302,HR,85,11986210,13620499,11160105,12192787,-117,197,-459,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.33,HR,86,11985145,13625080,11158543,12204388,-125,206,-452,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.399,HRV,53,11933241,13526008,11117269,12084312,-113,226,-454,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.399,HRV,54,11940101,13529462,11123411,12088373,-128,218,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.399,HRV,55,11951180,13534862,11129025,12092067,-144,210,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.399,HRV,56,11959645,13544246,11133606,12098916,-146,208,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.399,HRV,57,11974402,13553981,11140346,12107611,-138,211,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.423,HRV,58,11987415,13562445,11145182,12113625,-131,214,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.423,HRV,59,11995576,13568936,11148323,12120543,-133,214,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.423,HRV,60,12005814,13575156,11152920,12127539,-135,214,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.423,HRV,61,12018604,13582048,11158313,12130219,-129,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.423,HRV,62,12027691,13586314,11163722,12133570,-119,229,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.423,HRV,63,12039258,13590299,11171375,12138468,-113,233,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.513,HRV,64,12047798,13594923,11177694,12142128,-117,227,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.513,HRV,65,12054863,13599351,11182566,12146562,-120,220,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.513,HRV,66,12060577,13604802,11186712,12151137,-121,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.513,HRV,67,12058580,13603949,11186712,12151110,-121,220,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.513,HRV,68,12035716,13592790,11176041,12138861,-122,219,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.52,HRV,69,12019166,13582808,11167595,12129981,-126,216,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.521,HRV,70,12013009,13579062,11164583,12126208,-131,213,-449,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.521,HRV,71,12009918,13578747,11163208,12127539,-128,215,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.521,HRV,72,12008547,13579412,11161878,12131831,-125,217,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.521,HRV,73,11998649,13581418,11157511,12136003,-122,218,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.521,HRV,74,11989042,13597099,11152230,12139671,-119,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.578,HRV,75,11988112,13602601,11154388,12146238,-117,221,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.578,HRV,76,11989282,13604871,11157417,12148602,-120,220,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,851,821,0,0,20,2
2.578,HRV,77,11987056,13606474,11155974,12149883,-124,219,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.578,HRV,78,11984829,13609724,11153483,12154235,-124,219,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.578,HRV,79,11984580,13611652,11153168,12157484,-124,219,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.643,HRV,80,11984598,13614365,11154909,12162270,-124,218,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.643,HRV,81,11985750,13617087,11156205,12168138,-125,217,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.643,HRV,82,11986219,13617249,11157033,12173633,-126,216,-448,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.643,HRV,83,11986466,13616516,11158339,12178266,-122,208,-453,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.643,HRV,84,11986193,13617907,11159600,12183931,-117,199,-458,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.643,HRV,85,11986210,13620499,11160105,12192787,-117,197,-459,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.644,HRV,86,11985145,13625080,11158543,12204388,-125,206,-452,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.661,HR,87,11979497,13636658,11153219,12221494,-139,220,-440,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.661,HR,88,11976314,13658745,11145031,12241381,-139,211,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.661,HR,89,11972971,13694747,11132019,12261873,-128,208,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.661,HR,90,11979752,13740979,11123640,12279549,-110,211,-460,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.661,HR,91,11996098,13782833,11126686,12293548,-115,227,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.696,HR,92,12005952,13813877,11132949,12303522,-113,236,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.696,HR,93,12008614,13836041,11135739,12304894,-106,240,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.696,HR,94,12010182,13845212,11132097,12302941,-112,239,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.696,HR,95,12014168,13857805,11126302,12302404,-112,233,-440,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.696,HR,96,12025395,13879381,11127250,12306166,-109,225,-440,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.696,HR,97,12038439,13906406,11132259,12311695,-116,226,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.755,HR,98,12053463,13938826,11141437,12319015,-108,229,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.755,HR,99,12065362,13974751,11151904,12327802,-99,232,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.755,HR,100,12074398,14006940,11157408,12337450,-122,232,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.755,HR,101,12078254,14033805,11159890,12345129,-123,230,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,66,95,0,1,0,0
2.755,HR,102,12083169,14049767,11159582,12352781,-116,229,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.782,HR,103,12091615,14066395,11160625,12361901,-114,229,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.782,HR,104,12103916,14082398,11162383,12373000,-108,230,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.782,HR,105,12115271,14094539,11163772,12384782,-105,231,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.782,HR,106,12128588,14109348,11165411,12396154,-115,231,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.782,HR,107,12142673,14125754,11168090,12409139,-115,218,-450,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.782,HR,108,12154004,14138023,11171545,12421219,-112,212,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.816,HR,109,12162177,14149982,11173831,12432232,-109,227,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.816,HR,110,12169199,14158891,11176108,12442138,-109,229,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.816,HR,111,12174886,14168342,11180017,12449679,-109,231,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.816,HR,112,12181065,14178212,11185179,12455839,-110,237,-442,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.816,HR,113,12180970,14180226,11187917,12459969,-108,229,-446,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.876,HR,114,12164258,14169672,11180160,12457085,-105,223,-450,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.876,HR,115,12150624,14160168,11171459,12451233,-105,223,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.876,HR,116,12146820,14158437,11167022,12448408,-111,227,-447,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.876,HR,117,12147963,14160417,11165546,12449262,-114,229,-444,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.876,HR,118,12150864,14162652,11167015,12452340,-112,229,-445,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.876,HR,119,12153448,14165850,11169164,12455149,-109,217,-451,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.876,HR,120,12156758,14172173,11171203,12457878,-127,206,-452,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
2.935,HRV,87,11979497,13636658,11153219,12221494,-139,220,-440,g5/117mA/117mA g5/117mA/117mA g4/117mA/117mA g4/117mA/117mA,,,,,,
