t,func,frame_id,ch,rawdata,agc,hr_bpm,hr_conf,spo2_pct,spo2_conf
1.319,HR,0,0,9992039,g5/25mA/0mA,,,,
1.319,HR,0,1,9519084,g5/25mA/0mA,,,,
1.319,HR,0,2,10432423,g5/25mA/0mA,,,,
1.319,HR,0,3,11752131,g5/25mA/0mA,,,,
1.319,HR,1,0,10077983,g5/25mA/0mA,,,,
1.319,HR,1,1,9552203,g5/25mA/0mA,,,,
1.319,HR,1,2,10436484,g5/25mA/0mA,,,,
1.319,HR,1,3,11711847,g5/25mA/0mA,,,,
1.319,HR,2,0,10277487,g5/25mA/0mA,,,,
1.319,HR,2,1,9730334,g5/25mA/0mA,,,,
1.319,HR,2,2,10134374,g5/25mA/0mA,,,,
1.319,HR,2,3,11548318,g5/25mA/0mA,,,,
1.319,HR,3,0,10447881,g5/25mA/0mA,,,,
1.319,HR,3,1,9949307,g5/25mA/0mA,,,,
1.319,HR,3,2,9891276,g5/25mA/0mA,,,,
1.319,HR,3,3,11658629,g5/25mA/0mA,,,,
1.319,HR,4,0,10431681,g5/25mA/0mA,,,,
1.319,HR,4,1,9893205,g5/25mA/0mA,,,,
1.319,HR,4,2,9847205,g5/25mA/0mA,,,,
1.319,HR,4,3,11661699,g5/25mA/0mA,,,,
1.319,HR,5,0,10438831,g5/25mA/0mA,,,,
1.319,HR,5,1,9875937,g5/25mA/0mA,,,,
1.319,HR,5,2,9863806,g5/25mA/0mA,,,,
1.319,HR,5,3,11676041,g5/25mA/0mA,,,,
1.321,HR,6,0,10447113,g5/25mA/0mA,,,,
1.321,HR,6,1,9887643,g5/25mA/0mA,,,,
1.321,HR,6,2,9861092,g5/25mA/0mA,,,,
1.321,HR,6,3,11676866,g5/25mA/0mA,,,,
1.321,HR,7,0,10440529,g5/25mA/0mA,,,,
1.321,HR,7,1,9878761,g5/25mA/0mA,,,,
1.321,HR,7,2,9853090,g5/25mA/0mA,,,,
1.321,HR,7,3,11661852,g5/25mA/0mA,,,,
1.322,HR,8,0,10445338,g5/25mA/0mA,,,,
1.322,HR,8,1,9886644,g5/25mA/0mA,,,,
1.322,HR,8,2,9860060,g5/25mA/0mA,,,,
1.322,HR,8,3,11657724,g5/25mA/0mA,,,,
1.322,HR,9,0,10438172,g5/25mA/0mA,,,,
1.322,HR,9,1,9886080,g5/25mA/0mA,,,,
1.322,HR,9,2,9861845,g5/25mA/0mA,,,,
1.322,HR,9,3,11651478,g5/25mA/0mA,,,,
1.322,HR,10,0,10425794,g5/25mA/0mA,,,,
1.322,HR,10,1,9892820,g5/25mA/0mA,,,,
1.322,HR,10,2,9865435,g5/25mA/0mA,,,,
1.322,HR,10,3,11639176,g5/25mA/0mA,,,,
1.322,HR,11,0,10418056,g5/25mA/0mA,,,,
1.322,HR,11,1,9908339,g5/25mA/0mA,,,,
1.322,HR,11,2,9873515,g5/25mA/0mA,,,,
1.322,HR,11,3,11632087,g5/25mA/0mA,,,,
1.322,HR,12,0,10410403,g5/25mA/0mA,,,,
1.322,HR,12,1,9932584,g5/25mA/0mA,,,,
1.322,HR,12,2,9888821,g5/25mA/0mA,,,,
1.322,HR,12,3,11648458,g5/25mA/0mA,,,,
1.323,HR,13,0,10479277,g5/25mA/0mA,,,,
1.323,HR,13,1,9977254,g5/25mA/0mA,,,,
1.323,HR,13,2,9865701,g5/25mA/0mA,,,,
1.323,HR,13,3,11288388,g5/25mA/0mA,,,,
1.323,HR,14,0,10680750,g5/25mA/0mA,,,,
1.323,HR,14,1,10160104,g5/25mA/0mA,,,,
1.323,HR,14,2,9649356,g5/25mA/0mA,,,,
1.323,HR,14,3,10484821,g5/25mA/0mA,,,,
1.323,HR,15,0,10835705,g5/25mA/0mA,,,,
1.323,HR,15,1,10053336,g5/25mA/0mA,,,,
1.323,HR,15,2,9583606,g5/25mA/0mA,,,,
1.323,HR,15,3,10109232,g5/25mA/0mA,,,,
1.323,HR,16,0,10745681,g5/25mA/0mA,,,,
1.323,HR,16,1,10033433,g5/25mA/0mA,,,,
1.323,HR,16,2,9528996,g5/25mA/0mA,,,,
1.323,HR,16,3,10125485,g5/25mA/0mA,,,,
1.323,HR,17,0,10758392,g5/25mA/0mA,,,,
1.323,HR,17,1,10048697,g5/25mA/0mA,,,,
1.323,HR,17,2,9538195,g5/25mA/0mA,,,,
1.323,HR,17,3,10145516,g5/25mA/0mA,,,,
1.323,HR,18,0,10781991,g5/25mA/0mA,,,,
1.323,HR,18,1,10060263,g5/25mA/0mA,,,,
1.323,HR,18,2,9543542,g5/25mA/0mA,,,,
1.323,HR,18,3,10168381,g5/25mA/0mA,,,,
1.323,HR,19,0,10791819,g5/25mA/0mA,,,,
1.323,HR,19,1,10064580,g5/25mA/0mA,,,,
1.323,HR,19,2,9547372,g5/25mA/0mA,,,,
1.323,HR,19,3,10204356,g5/25mA/0mA,,,,
1.323,HR,20,0,10798140,g5/25mA/0mA,,,,
1.323,HR,20,1,10063301,g5/25mA/0mA,,,,
1.323,HR,20,2,9552365,g5/25mA/0mA,,,,
1.323,HR,20,3,10236076,g5/25mA/0mA,,,,
1.323,HR,21,0,10805058,g5/25mA/0mA,,,,
1.323,HR,21,1,10060009,g5/25mA/0mA,,,,
1.323,HR,21,2,9582411,g5/25mA/0mA,,,,
1.323,HR,21,3,10345933,g5/25mA/0mA,,,,
1.323,HR,22,0,10814870,g5/25mA/0mA,,,,
1.323,HR,22,1,10065860,g5/25mA/0mA,,,,
1.323,HR,22,2,9612195,g5/25mA/0mA,,,,
1.323,HR,22,3,10446833,g5/25mA/0mA,,,,
1.323,HR,23,0,10736042,g5/25mA/0mA,,,,
1.323,HR,23,1,10051707,g5/25mA/0mA,,,,
1.323,HR,23,2,9658032,g5/25mA/0mA,,,,
1.323,HR,23,3,10692541,g5/25mA/0mA,,,,
1.323,HR,24,0,10634314,g5/25mA/0mA,,,,
1.323,HR,24,1,10009938,g5/25mA/0mA,,,,
1.323,HR,24,2,9738363,g5/25mA/0mA,,,,
1.323,HR,24,3,10959083,g5/25mA/0mA,,,,
1.323,HR,25,0,10623583,g5/25mA/0mA,,,,
1.323,HR,25,1,9886125,g5/25mA/0mA,,,,
1.323,HR,25,2,9874862,g5/25mA/0mA,,,,
1.323,HR,25,3,11030522,g5/25mA/0mA,,,,
1.324,HR,26,0,10646728,g5/25mA/0mA,,,,
1.324,HR,26,1,9841557,g5/25mA/0mA,,,,
1.324,HR,26,2,9922707,g5/25mA/0mA,,,,
1.324,HR,26,3,11095087,g5/25mA/0mA,,,,
1.324,HR,27,0,10598997,g5/25mA/0mA,,,,
1.324,HR,27,1,9794072,g5/25mA/0mA,,,,
1.324,HR,27,2,10016694,g5/25mA/0mA,,,,
1.324,HR,27,3,11146512,g5/25mA/0mA,,,,
1.324,HR,28,0,10611537,g5/25mA/0mA,,,,
1.324,HR,28,1,9813624,g5/25mA/0mA,,,,
1.324,HR,28,2,10058916,g5/25mA/0mA,,,,
1.324,HR,28,3,11268860,g5/25mA/0mA,,,,
1.324,HR,29,0,10654987,g5/25mA/0mA,,,,
1.324,HR,29,1,9798950,g5/25mA/0mA,,,,
1.324,HR,29,2,10094611,g5/25mA/0mA,,,,
1.324,HR,29,3,11337784,g5/25mA/0mA,,,,
1.324,HR,30,0,10636423,g5/25mA/0mA,,,,
1.324,HR,30,1,9725191,g5/25mA/0mA,,,,
1.324,HR,30,2,10095055,g5/25mA/0mA,,,,
1.324,HR,30,3,11329041,g5/25mA/0mA,,,,
1.324,HR,31,0,10628888,g5/25mA/0mA,,,,
1.324,HR,31,1,9716701,g5/25mA/0mA,,,,
1.324,HR,31,2,10093749,g5/25mA/0mA,,,,
1.324,HR,31,3,11304018,g5/25mA/0mA,,,,
1.377,HR,32,0,10625425,g5/25mA/0mA,,,,
1.377,HR,32,1,9711112,g5/25mA/0mA,,,,
1.377,HR,32,2,10095541,g5/25mA/0mA,,,,
1.377,HR,32,3,11316389,g5/25mA/0mA,,,,
1.378,SPO2,0,0,16602327,g2/63mA/0mA,,,,
1.378,SPO2,0,1,16726147,g2/51mA/0mA,,,,
1.378,SPO2,1,0,16602344,g2/63mA/0mA,,,,
1.378,SPO2,1,1,16777215,g2/51mA/0mA,,,,
1.378,SPO2,2,0,16602344,g2/63mA/0mA,,,,
