t,func,frame_id,ch,rawdata,agc,hr_bpm,hr_conf,spo2_pct,spo2_conf
1.508,HR,191,0,10487697,g4/12mA/12mA,,,,
1.508,HR,191,1,13691181,g4/12mA/12mA,,,,
1.508,HR,191,2,11718388,g4/12mA/12mA,,,,
1.508,HR,191,3,13118888,g4/12mA/12mA,,,,
1.508,HR,192,0,10487295,g4/12mA/12mA,,,,
1.508,HR,192,1,13690192,g4/12mA/12mA,,,,
1.508,HR,192,2,11717970,g4/12mA/12mA,,,,
1.508,HR,192,3,13118282,g4/12mA/12mA,,,,
1.508,HR,193,0,10487117,g4/12mA/12mA,94,81,,
1.508,HR,193,1,13690141,g4/12mA/12mA,94,81,,
1.508,HR,193,2,11717527,g4/12mA/12mA,94,81,,
1.508,HR,193,3,13118189,g4/12mA/12mA,94,81,,
1.508,HR,194,0,10486887,g4/12mA/12mA,94,81,,
1.508,HR,194,1,13689399,g4/12mA/12mA,94,81,,
1.508,HR,194,2,11717006,g4/12mA/12mA,94,81,,
1.508,HR,194,3,13117719,g4/12mA/12mA,94,81,,
1.508,HR,195,0,10486681,g4/12mA/12mA,94,81,,
1.508,HR,195,1,13689125,g4/12mA/12mA,94,81,,
1.508,HR,195,2,11716980,g4/12mA/12mA,94,81,,
1.508,HR,195,3,13117454,g4/12mA/12mA,94,81,,
1.562,HR,196,0,10487125,g4/12mA/12mA,94,81,,
1.562,HR,196,1,13689772,g4/12mA/12mA,94,81,,
1.562,HR,196,2,11717715,g4/12mA/12mA,94,81,,
1.562,HR,196,3,13118111,g4/12mA/12mA,94,81,,
1.562,HR,197,0,10487362,g4/12mA/12mA,94,81,,
1.562,HR,197,1,13690261,g4/12mA/12mA,94,81,,
1.562,HR,197,2,11717605,g4/12mA/12mA,94,81,,
1.562,HR,197,3,13118094,g4/12mA/12mA,94,81,,
1.562,HR,198,0,10487108,g4/12mA/12mA,94,81,,
1.562,HR,198,1,13690013,g4/12mA/12mA,94,81,,
1.562,HR,198,2,11717458,g4/12mA/12mA,94,81,,
1.562,HR,198,3,13117771,g4/12mA/12mA,94,81,,
1.562,HR,199,0,10486936,g4/12mA/12mA,94,81,,
1.562,HR,199,1,13689749,g4/12mA/12mA,94,81,,
1.562,HR,199,2,11717212,g4/12mA/12mA,94,81,,
1.562,HR,199,3,13117744,g4/12mA/12mA,94,81,,
1.562,HR,200,0,10486017,g4/12mA/12mA,94,81,,
1.562,HR,200,1,13688272,g4/12mA/12mA,94,81,,
1.562,HR,200,2,11716061,g4/12mA/12mA,94,81,,
1.562,HR,200,3,13116362,g4/12mA/12mA,94,81,,
1.562,HR,201,0,10485317,g4/12mA/12mA,94,81,,
1.562,HR,201,1,13687118,g4/12mA/12mA,94,81,,
1.562,HR,201,2,11715368,g4/12mA/12mA,94,81,,
1.562,HR,201,3,13115611,g4/12mA/12mA,94,81,,
1.566,HR,202,0,10484488,g4/12mA/12mA,94,81,,
1.566,HR,202,1,13686121,g4/12mA/12mA,94,81,,
1.566,HR,202,2,11714329,g4/12mA/12mA,94,81,,
1.566,HR,202,3,13114426,g4/12mA/12mA,94,81,,
1.566,HR,203,0,10484112,g4/12mA/12mA,94,81,,
1.566,HR,203,1,13685465,g4/12mA/12mA,94,81,,
1.566,HR,203,2,11713783,g4/12mA/12mA,94,81,,
1.566,HR,203,3,13113931,g4/12mA/12mA,94,81,,
1.566,HR,204,0,10484310,g4/12mA/12mA,94,81,,
1.566,HR,204,1,13685694,g4/12mA/12mA,94,81,,
1.566,HR,204,2,11713945,g4/12mA/12mA,94,81,,
1.566,HR,204,3,13114051,g4/12mA/12mA,94,81,,
1.566,HR,205,0,10484267,g4/12mA/12mA,94,81,,
1.566,HR,205,1,13686045,g4/12mA/12mA,94,81,,
1.566,HR,205,2,11714378,g4/12mA/12mA,94,81,,
1.566,HR,205,3,13114273,g4/12mA/12mA,94,81,,
1.566,HR,206,0,10483472,g4/12mA/12mA,94,81,,
1.566,HR,206,1,13684338,g4/12mA/12mA,94,81,,
1.566,HR,206,2,11712929,g4/12mA/12mA,94,81,,
1.566,HR,206,3,13113181,g4/12mA/12mA,94,81,,
1.566,HR,207,0,10482101,g4/12mA/12mA,94,81,,
1.566,HR,207,1,13681566,g4/12mA/12mA,94,81,,
1.566,HR,207,2,11710548,g4/12mA/12mA,94,81,,
1.566,HR,207,3,13110827,g4/12mA/12mA,94,81,,
1.628,HR,208,0,10480846,g4/12mA/12mA,94,81,,
1.628,HR,208,1,13679921,g4/12mA/12mA,94,81,,
1.628,HR,208,2,11709023,g4/12mA/12mA,94,81,,
1.628,HR,208,3,13109411,g4/12mA/12mA,94,81,,
1.628,HR,209,0,10481383,g4/12mA/12mA,94,81,,
1.628,HR,209,1,13680593,g4/12mA/12mA,94,81,,
1.628,HR,209,2,11709916,g4/12mA/12mA,94,81,,
1.628,HR,209,3,13110152,g4/12mA/12mA,94,81,,
1.628,HR,210,0,10482475,g4/12mA/12mA,94,81,,
1.628,HR,210,1,13682742,g4/12mA/12mA,94,81,,
1.628,HR,210,2,11711716,g4/12mA/12mA,94,81,,
1.628,HR,210,3,13111524,g4/12mA/12mA,94,81,,
1.628,HR,211,0,10483253,g4/12mA/12mA,94,81,,
1.628,HR,211,1,13683597,g4/12mA/12mA,94,81,,
1.628,HR,211,2,11712289,g4/12mA/12mA,94,81,,
1.628,HR,211,3,13112183,g4/12mA/12mA,94,81,,
1.628,HR,212,0,10482707,g4/12mA/12mA,94,81,,
1.628,HR,212,1,13683118,g4/12mA/12mA,94,81,,
1.628,HR,212,2,11712050,g4/12mA/12mA,94,81,,
1.628,HR,212,3,13112097,g4/12mA/12mA,94,81,,
1.628,HR,213,0,10483738,g4/12mA/12mA,94,81,,
1.628,HR,213,1,13684971,g4/12mA/12mA,94,81,,
1.628,HR,213,2,11713278,g4/12mA/12mA,94,81,,
1.628,HR,213,3,13113301,g4/12mA/12mA,94,81,,
1.629,HR,214,0,10483055,g4/12mA/12mA,94,81,,
1.629,HR,214,1,13683845,g4/12mA/12mA,94,81,,
1.629,HR,214,2,11712392,g4/12mA/12mA,94,81,,
1.629,HR,214,3,13112251,g4/12mA/12mA,94,81,,
1.629,HR,215,0,10482441,g4/12mA/12mA,94,81,,
1.629,HR,215,1,13682358,g4/12mA/12mA,94,81,,
1.629,HR,215,2,11711342,g4/12mA/12mA,94,81,,
1.629,HR,215,3,13111320,g4/12mA/12mA,94,81,,
